"AL0Date","AL0Close","AL0_hpft","AL0_hpfc"
2021-03-08,17260,17000.688714338,259.311285662004
2021-03-09,16990,17031.8784446737,-41.8784446736565
2021-03-10,17185,17063.1779812887,121.822018711344
2021-03-11,17530,17094.5818217111,435.418178288913
2021-03-12,17310,17126.0845138256,183.915486174409
2021-03-15,17605,17157.6807855013,447.319214498674
2021-03-16,17575,17189.3654406304,385.634559369558
2021-03-17,17710,17221.1334680087,488.866531991311
2021-03-18,17475,17252.9800158381,222.019984161894
2021-03-19,17415,17284.9004343983,130.099565601737
2021-03-22,17535,17316.8901657428,218.109834257235
2021-03-23,17085,17348.9447057032,-263.944705703224
2021-03-24,17075,17381.0596402693,-306.059640269325
2021-03-25,17060,17413.2304463264,-353.230446326356
2021-03-26,17420,17445.4524742469,-25.4524742469326
2021-03-29,17405,17477.7209283924,-72.7209283923638
2021-03-30,17345,17510.031002603,-165.03100260296
2021-03-31,17155,17542.3778606592,-387.377860659197
2021-04-01,17400,17574.7565981243,-174.756598124275
2021-04-02,17515,17607.162150435,-92.1621504349639
2021-04-06,17515,17639.5893807907,-124.589380790743
2021-04-07,17460,17672.0331142949,-212.033114294899
2021-04-08,17525,17704.4881245505,-179.488124550527
2021-04-09,17485,17736.9490975147,-251.94909751474
2021-04-12,17395,17769.4106449515,-374.410644951491
2021-04-13,17740,17801.8672744791,-61.8672744790959
2021-04-14,17895,17834.3133389496,60.6866610504475
2021-04-15,18320,17866.7431656415,453.25683435854
2021-04-16,18005,17899.1511069187,105.848893081261
2021-04-19,18215,17931.5317025036,283.468297496352
2021-04-20,18070,17963.8795358719,106.120464128062
2021-04-21,18000,17996.1893076739,3.81069232614699
2021-04-22,18100,18028.4557624255,71.5442375745363
2021-04-23,18355,18060.6736462182,294.326353781797
2021-04-26,18360,18092.8377347169,267.162265283089
2021-04-27,18605,18124.9429252491,480.057074750879
2021-04-28,18480,18156.9842255765,323.015774423536
2021-04-29,18865,18188.9568418969,676.043158103083
2021-04-30,18990,18220.85611393,769.143886069979
2021-05-06,19385,18252.6776608447,1132.32233915528
2021-05-07,19855,18284.4174197428,1570.58258025723
2021-05-10,20420,18316.0717957828,2103.92820421724
2021-05-11,19945,18347.6378433387,1597.36215666132
2021-05-12,19985,18379.1134864639,1605.88651353608
2021-05-13,19675,18410.4973094972,1264.50269050284
2021-05-14,19315,18441.7885605861,873.211439413871
2021-05-17,19700,18472.987010573,1227.01298942704
2021-05-18,19715,18504.0927912503,1210.90720874971
2021-05-19,19280,18535.1065416089,744.893458391092
2021-05-20,19140,18566.0294011793,573.970598820661
2021-05-21,18710,18596.8628174015,113.137182598494
2021-05-24,18105,18627.6084749717,-522.608474971655
2021-05-25,18370,18658.2681053522,-288.268105352247
2021-05-26,18210,18688.8432239806,-478.843223980617
2021-05-27,18480,18719.3352271355,-239.335227135518
2021-05-28,18670,18749.7453131611,-79.7453131611155
2021-05-31,18825,18780.0745814703,44.9254185296683
2021-06-01,18875,18810.3240985123,64.6759014876626
2021-06-02,18605,18840.4949493069,-235.49494930689
2021-06-03,18425,18870.5882456078,-445.588245607769
2021-06-04,18280,18900.6050018248,-620.605001824782
2021-06-07,18435,18930.5460481796,-495.546048179579
2021-06-08,18260,18960.4119583606,-700.411958360614
